cycle,HI1,HI2,y1,HI3,HI4,y2
1,1640.7,103.75,1.8565,0.044669,0.069456,1.847
2,1679.2,2353.8,1.8463,0.044843,0.067972,1.8474
3,1680.1,2368.4,1.8353,0.045101,0.068528,1.8362
4,1681.1,2368.8,1.8353,0.044172,0.068044,1.8258
5,1680.1,2374.4,1.8346,0.043787,0.06845,1.8251
6,1680.5,2380.8,1.8357,0.044639,0.068341,1.8256
7,1680.4,2380.6,1.8351,0.043559,0.068682,1.814
8,1682.8,2385.3,1.8258,0.045265,0.068144,1.8148
9,1681,2377.4,1.8248,0.044484,0.067826,1.814
10,1681.6,2374.6,1.8246,0.044414,0.068858,1.8028
11,1681.9,2373.6,1.8246,0.044535,0.067794,1.8041
12,1663.5,2378.7,1.8142,0.046463,0.069938,1.8307
13,1664.1,2286.4,1.8138,0.047724,0.069504,1.8199
14,1644.8,2370.8,1.8134,0.04694,0.069661,1.8093
15,1644.8,2365,1.8026,0.047028,0.071129,1.8046
16,1643.5,2363.1,1.8021,0.047755,0.071671,1.7994
17,1625.9,2348.8,1.8026,0.047023,0.069767,1.7884
18,1625.9,2346.1,1.8031,0.046245,0.071925,1.7829
19,1625.4,2344.7,1.8028,0.046186,0.071938,1.773
20,1701.4,2336.6,1.847,0.047737,0.07034,1.773
21,1720.9,2395.1,1.8474,0.048383,0.069738,1.7679
22,1702.5,2454.8,1.8362,0.048038,0.070125,1.7623
23,1682.6,2454.6,1.8258,0.048087,0.069713,1.7676
24,1663.3,2442.6,1.8251,0.047547,0.07318,1.7517
25,1663.8,2426.3,1.8256,0.047641,0.071652,1.7418
26,1644.6,2424.6,1.814,0.048424,0.0725,1.7361
27,1663.9,2412.9,1.8148,0.049431,0.070141,1.7832
28,1643.4,2401.3,1.814,0.049748,0.07113,1.7674
29,1643.2,2391.4,1.8028,0.049885,0.071983,1.757
30,1626.5,2392.2,1.8041,0.049216,0.071464,1.7469
31,1630.2,2380.3,1.8518,0.049946,0.070887,1.7417
32,1639.6,2379.3,1.8307,0.04897,0.071782,1.7364
33,1620.7,0,1.8199,0.050229,0.071832,1.7263
34,1601.5,2402.6,1.8093,0.049715,0.07139,1.7158
35,1583.7,2390.5,1.8046,0.049132,0.072452,1.7105
36,1593.1,2370.2,1.7994,0.04921,0.07304,1.706
37,1564.3,2348.6,1.7884,0.049506,0.072511,1.7003
38,1555.1,2343.1,1.7829,0.048652,0.072018,1.6946
39,1545.8,2336.7,1.773,0.049166,0.07317,1.6849
40,1536.5,2317.3,1.773,0.049234,0.072771,1.6745
41,1536.4,2294.3,1.7679,0.050548,0.072709,1.6746
42,1527,2276.8,1.7623,0.050119,0.07301,1.6637
43,1510.9,2277.8,1.7676,0.049793,0.073437,1.6539
44,1518,2276,1.7627,0.049865,0.073213,1.6427
45,1489.4,2262.3,1.7517,0.049812,0.074596,1.6379
46,1480,2270,1.7418,0.048507,0.074583,1.6327
47,1470.5,2252.4,1.7361,0.050023,0.073664,1.6278
48,1574,2227.8,1.7936,0.050205,0.073719,1.6221
49,1564.4,2203.4,1.7832,0.049759,0.074656,1.6113
50,1526.8,2241.1,1.7674,0.049687,0.073554,1.6066
51,1499,2356,1.757,0.04995,0.074623,1.6015
52,1480.6,2321,1.7469,0.050283,0.073604,1.5904
53,1479.7,2282.8,1.7417,0.04992,0.074642,1.5858
54,1461.2,2257.4,1.7364,0.05008,0.075477,1.5849
55,1442.8,2228.5,1.7263,0.054873,0.079344,1.5747
56,1433.5,2222.4,1.7158,0.05524,0.080024,1.5649
57,1423.4,2206.1,1.7105,0.05508,0.08045,1.5598
58,1424.1,2185,1.706,0.054846,0.080995,1.5595
59,1405.1,2163.6,1.7003,0.058089,0.079006,1.5547
60,1395.6,2141.9,1.6946,0.0564,0.081815,1.5489
61,1386.6,2138.9,1.6849,0.057159,0.080867,1.5382
62,1367.4,2121.2,1.6745,0.056999,0.082501,1.5279
63,1367.6,2105.4,1.6746,0.057916,0.081751,1.5285
64,1348.8,2074.1,1.6637,0.058583,0.082694,1.5226
65,1349.6,2048.8,1.659,0.056844,0.082273,1.5175
66,1330.7,2053.2,1.6539,0.056672,0.082916,1.6058
67,1320.8,2036.8,1.6427,0.058694,0.080997,1.5481
68,1311.6,2003.3,1.6379,0.056874,0.080792,1.5324
69,1301.9,1985.6,1.6327,0.058401,0.081617,1.527
70,1292.7,1960.3,1.6278,0.057139,0.08203,1.517
71,1282.8,1941.7,1.6221,0.056847,0.084309,1.5119
72,1273.8,1922.8,1.6113,0.059715,0.081281,1.5066
73,1264.6,1905,1.6066,0.057876,0.082762,1.5015
74,1246.2,1886.8,1.6015,0.057106,0.083893,1.4908
75,1236.3,1861.2,1.5904,0.058324,0.082336,1.4859
76,1226.9,1845.2,1.5858,0.05854,0.0826,1.4804
77,1208,1822.8,1.5849,0.05761,0.083618,1.4752
78,1236.5,1795.2,1.5955,0.056877,0.084536,1.4859
79,1199.1,1774.6,1.5747,0.060198,0.083773,1.4808
80,1190.2,1747.4,1.5649,0.059884,0.083612,1.4698
81,1190,1796.7,1.5598,0.058875,0.083706,1.4539
82,1180.2,1735.1,1.5595,0.058445,0.084351,1.4541
83,1171.4,1701.9,1.5547,0.060551,0.083281,1.455
84,1161.5,1692.5,1.5489,0.05995,0.08319,1.449
85,1152,1703.5,1.5382,0.059565,0.08487,1.4387
86,1142.9,1687.7,1.5279,0.059853,0.084739,1.4334
87,1133.5,1664.1,1.5285,0.058745,0.087117,1.4334
88,1133.4,1628.7,1.5226,0.060838,0.084909,1.4281
89,1124,1602.7,1.5175,0.059938,0.0848,1.4229
90,1161.6,1612.5,1.6058,0.059596,0.085188,1.4174
91,1189.3,1605,1.5638,0.058401,0.086329,1.4124
92,1161.5,1656.8,1.5481,0.062605,0.085021,1.4126
93,1152.1,1732.7,1.5324,0.061152,0.084856,1.4076
94,1133.5,1693.8,1.527,0.059631,0.085035,1.4334
95,1114.7,1644.8,1.517,0.060987,0.08584,1.4174
96,1114.8,1623.8,1.5119,0.061004,0.085884,1.407
97,1105.3,1598.9,1.5066,0.062329,0.088222,1.4012
98,1105.6,1583.3,1.5015,0.061503,0.08727,1.3967
99,1086.4,1566.1,1.4908,0.061419,0.087204,1.3913
100,1077.4,1553.1,1.4859,0.061217,0.087282,1.3862
101,1077.4,1525.7,1.4804,0.062704,0.086791,1.3804
102,1058.8,1512.4,1.4752,0.061726,0.088378,1.3752
103,1077.4,1497.9,1.4859,0.061852,0.086979,1.3705
104,1087.1,1481.1,1.4961,0.063104,0.088522,1.3705
105,1067.9,1464.5,1.4808,0.062287,0.089231,1.3647
106,1058.4,1544.5,1.4698,0.062705,0.088387,1.3754
107,1039.7,1502.5,1.4539,0.053286,0.081569,1.3648
108,1039.3,1472.9,1.4541,0.052931,0.082757,1.3543
